ticker,quantity,averagePrice,currentPrice,ppl,fxPpl,initialFillDate,frontend,maxBuy,maxSell,pieQuantity
GGRGl_EQ,1.24651461,3188.00114184,2908.0,-3.49,,2024-12-30T10:03:01.000+02:00,AUTOINVEST,49999998.75348539,50000000.0,1.24651461
JNPR_US_EQ,0.281997,37.62451374,34.0,-1.14,-0.35,2025-01-02T16:30:06.000+02:00,AUTOINVEST,98195.718003,98196.0,0.281997
QCOM_US_EQ,0.0650698,155.52529745,127.06,-1.76,-0.33,2025-01-02T16:30:07.000+02:00,AUTOINVEST,487752.9349302,487753.0,0.0650698
AMGN_US_EQ,0.7466009,259.80413364,291.0,13.07,-4.97,2025-01-06T16:30:04.000+02:00,AUTOINVEST,113714.2533991,113715.0,0.7466009
XNAQl_EQ,1.109752,39.35113431,31.785,-8.4,,2024-12-30T10:00:34.000+02:00,AUTOINVEST,49999998.890248,50000000.0,1.109752
FORM_US_EQ,0.361801,42.8688699,23.75,-5.86,-0.5,2025-01-02T16:30:01.000+02:00,AUTOINVEST,27971.638199,27972.0,0.361801
NXL_US_EQ,8.47618,2.79371132,1.65,-8.03,-0.52,2024-12-31T16:30:14.000+02:00,AUTOINVEST,593.52382,602.0,8.47618
ISRG_US_EQ,0.0208274,547.8360237,451.0,-1.7,-0.14,2025-01-21T16:30:05.000+02:00,AUTOINVEST,58264.9791726,58265.0,0.0208274
GOOGL_US_EQ,0.0971852,190.66689167,144.79,-4.17,-0.72,2025-01-02T16:30:01.000+02:00,AUTOINVEST,1161562.9028148,1161563.0,0.0971852
AMBO_US_EQ,22.08407,2.54708484,2.75,2.07,-1.4,2025-01-03T17:24:35.000+02:00,AUTOINVEST,374.91593,397.0,22.08407
IMBAl_EQ,41.34651,5.2069691,5.3445,1.85,-2.55,2024-12-30T10:00:02.000+02:00,AUTOINVEST,49999958.65349,50000000.0,41.34651
CSH2l_EQ,0.17429593,116780.17954866,117599.5,1.43,,2025-01-07T10:58:43.000+02:00,AUTOINVEST,49999999.82570407,50000000.0,0.17429593
ESTC_US_EQ,0.6645252,106.18107485,76.0,-16.35,-0.82,2025-01-02T16:30:01.000+02:00,AUTOINVEST,75280.3354748,75281.0,0.6645252
IS05d_EQ,3.27756,3.70092386,3.5229,-0.27,0.22,2024-12-30T10:04:09.000+02:00,AUTOINVEST,49999996.72244,50000000.0,3.27756
IIVI_US_EQ,0.141094,94.90127149,50.22,-5.29,-0.41,2025-01-02T16:30:01.000+02:00,AUTOINVEST,104144.858906,104145.0,0.141094
TLNE_US_EQ,1.4220928,226.50420563,166.0,-73.43,-6.8,2025-01-06T18:59:21.000+02:00,AUTOINVEST,2388.5779072,2390.0,0.4179862
GLDWl_EQ,0.79658914,21123.81296084,23278.0,17.16,,2024-12-30T10:00:32.000+02:00,AUTOINVEST,49999999.20341086,50000000.0,0.79658914
PYXl_EQ,1402.49383,2.27346455,1.68,-8.32,,2025-01-07T10:20:55.000+02:00,AUTOINVEST,6651.50617,8054.0,1402.49383
DXJGl_EQ,1.74004475,2311.49802325,2079.5,-4.04,,2024-12-30T10:00:43.000+02:00,AUTOINVEST,49999998.25995525,50000000.0,1.74004475
UUUU_US_EQ,9.08572,5.59009082,3.44,-16.31,-1.18,2025-01-06T18:59:49.000+02:00,AUTOINVEST,158077.91428,158087.0,9.08572
FSLR_US_EQ,0.2973056,179.20954062,128.79,-13.15,-1.54,2025-01-03T16:33:06.000+02:00,AUTOINVEST,201785.7026944,201786.0,0.2973056
TER_US_EQ,0.0842617,128.76550081,68.71,-4.27,-0.35,2025-01-02T16:30:02.000+02:00,AUTOINVEST,102980.9157383,102981.0,0.0842617
LEU_US_EQ,2.8793138,89.22612047,53.99,-83.82,-5.26,2025-01-06T18:59:28.000+02:00,AUTOINVEST,15952.1206862,15955.0,0.987687
BOSC_US_EQ,2.20304,3.98540199,3.55,-0.85,-0.11,2025-01-21T16:30:00.000+02:00,AUTOINVEST,816.79696,819.0,2.20304
PDN_CA_EQ,12.36186,7.13323076,3.7,-24.04,-0.95,2025-01-07T16:33:11.000+02:00,AUTOINVEST,1337.63814,1350.0,12.36186
KNW_US_EQ,14.9061525,6.4060796,0.5599,-69.99,-2.51,2025-02-19T09:28:41.000+02:00,,485.0938475,500.0,0.0
AMZN_US_EQ,0.0126772,217.71369072,170.2,-0.59,-0.12,2025-01-13T22:22:09.000+02:00,AUTOINVEST,1697291.9873228,1697292.0,0.0126772
NIO_US_EQ,53.09591,4.3202951,3.44,-40.39,-4.2,2025-01-03T16:57:53.000+02:00,AUTOINVEST,3013745.90409,3013799.0,53.09591
NVEC_US_EQ,0.154159,82.51221142,58.66,-3.26,-0.41,2025-01-02T16:40:02.000+02:00,AUTOINVEST,724.845841,725.0,0.154159
SMCI_US_EQ,0.821627,33.95701456,28.95,-3.74,-0.55,2025-01-14T17:23:58.000+02:00,AUTOINVEST,301211.178373,301212.0,0.821627
AIXI_US_EQ,5.1985,4.50514572,3.09,-6.11,-0.41,2025-01-28T16:31:52.000+02:00,AUTOINVEST,1494.8015,1500.0,5.1985
LRCX_US_EQ,4.2341999,74.8642028,58.85,-57.16,-4.65,2024-12-31T16:30:01.000+02:00,AUTOINVEST,4438.7658001,4443.0,4.2341999
VAGSl_EQ,6.807251,24.91754748,25.162,1.66,,2025-01-06T18:21:39.000+02:00,AUTOINVEST,49999993.192749,50000000.0,6.807251
VRT_US_EQ,0.0262493,105.90758611,57.51,-1.06,-0.08,2025-01-21T16:30:12.000+02:00,AUTOINVEST,525679.9737507,525680.0,0.0262493
DADA_US_EQ,32.54755,1.86680718,1.9,-0.38,-1.22,2025-01-28T16:31:59.000+02:00,AUTOINVEST,66600.45245,66633.0,32.54755
UCAR_US_EQ,7.74622,3.03631965,2.51,-3.58,-0.42,2025-01-28T16:32:26.000+02:00,AUTOINVEST,7055.25378,7063.0,7.74622
GDS_US_EQ,0.749192,32.26142297,21.31,-6.72,-0.37,2025-01-28T16:32:10.000+02:00,AUTOINVEST,60265.250808,60266.0,0.749192
KLAC_US_EQ,0.1305589,697.23320279,575.0,-12.95,-0.59,2025-01-02T16:30:00.000+02:00,AUTOINVEST,34935.8694411,34936.0,0.1305589
TDC_US_EQ,0.400472,30.61387563,19.93,-3.69,-0.38,2025-01-02T16:30:01.000+02:00,AUTOINVEST,38049.599528,38050.0,0.400472
SYNA_US_EQ,0.162339,77.36896248,49.07,-3.91,-0.35,2025-01-02T16:30:00.000+02:00,AUTOINVEST,14007.837661,14008.0,0.162339
HYEAl_EQ,2.07126,5.75012311,5.531,-0.15,0.23,2024-12-30T10:05:41.000+02:00,AUTOINVEST,49999997.92874,50000000.0,2.07126
AMD_US_EQ,0.0902169,122.26090677,84.85,-2.96,-0.35,2025-01-02T16:30:01.000+02:00,AUTOINVEST,2943128.9097831,2943129.0,0.0902169
DQ_US_EQ,1.092918,20.20279655,15.36,-4.48,-0.38,2025-01-28T16:32:10.000+02:00,AUTOINVEST,55221.907082,55223.0,1.092918
CRUS_US_EQ,0.9661525,105.42849084,83.23,-17.26,-0.65,2025-01-02T16:30:02.000+02:00,AUTOINVEST,20420.0338475,20421.0,0.9661525
QMCO_US_EQ,1.723312,17.68687272,11.38,-8.47,-0.05,2025-01-13T22:22:23.000+02:00,AUTOINVEST,1198.276688,1200.0,1.723312
IBM_US_EQ,0.4416206,230.19759495,227.5,-3.59,-2.67,2025-01-02T16:30:40.000+02:00,AUTOINVEST,170829.5583794,170830.0,0.4416206
LSCC_US_EQ,1.315405,61.66921975,39.05,-23.6,-0.56,2025-01-02T16:30:02.000+02:00,AUTOINVEST,133734.684595,133736.0,1.315405
GFAI_US_EQ,29.07157,1.32982154,0.8739,-10.91,-0.65,2025-01-21T16:30:01.000+02:00,AUTOINVEST,5450.92843,5480.0,29.07157
SVFC_US_EQ,1.567401,24.65227469,17.2,-9.65,-0.61,2025-01-21T16:30:00.000+02:00,AUTOINVEST,60559.432599,60561.0,1.567401
SERV1_US_EQ,3.837978,9.98702963,5.11,-15.04,-0.55,2025-01-21T16:30:12.000+02:00,AUTOINVEST,245591.162022,245595.0,3.837978
CRWD_US_EQ,0.0658981,380.43585475,319.47,-3.49,-0.38,2025-01-21T16:30:12.000+02:00,AUTOINVEST,233879.9341019,233880.0,0.0658981
HTHIY_US_EQ,1.471854,25.24027519,19.52,-7.71,-1.19,2025-02-19T09:32:38.000+02:00,,2998.528146,3000.0,0.0
APP_US_EQ,0.0032061,386.76273354,215.6,-0.45,-0.03,2025-01-21T16:30:12.000+02:00,AUTOINVEST,245584.9967939,245585.0,0.0032061
CLS_US_EQ,0.0120353,113.83181142,65.79,-0.49,-0.04,2025-01-21T16:31:07.000+02:00,AUTOINVEST,113235.9879647,113236.0,0.0120353
DEMSl_EQ,1.43927753,2109.50281423,1973.5,-1.96,,2024-12-30T10:04:51.000+02:00,AUTOINVEST,49999998.56072247,50000000.0,1.43927753
JD_US_EQ,17.188484,38.69509376,36.51,-40.28,-11.2,2024-12-31T16:30:01.000+02:00,AUTOINVEST,844126.811516,844144.0,17.188484
TSEM_US_EQ,0.243909,51.98660156,29.98,-4.56,-0.4,2025-01-02T16:30:02.000+02:00,AUTOINVEST,17106.756091,17107.0,0.243909
MKSI_US_EQ,0.1034928,106.96396271,58.55,-4.23,-0.35,2025-01-02T16:30:01.000+02:00,AUTOINVEST,43336.8965072,43337.0,0.1034928
ON_US_EQ,0.225482,61.33527288,33.11,-5.33,-0.4,2025-01-02T16:30:00.000+02:00,AUTOINVEST,4169.774518,4170.0,0.225482
CEA1l_EQ,0.03486377,14720.43901162,13191.5,-0.53,,2025-01-06T18:20:29.000+02:00,AUTOINVEST,49999999.96513623,50000000.0,0.03486377
HON_US_EQ,0.0633201,226.15251713,190.96,-2.24,-0.51,2025-01-02T16:30:02.000+02:00,AUTOINVEST,123183.9366799,123184.0,0.0633201
LK_US_EQ,3.629236,29.02539267,32.01,5.92,-2.47,2025-01-03T16:09:31.000+02:00,AUTOINVEST,2997.370764,3001.0,3.629236
A_US_EQ,0.1575566,133.34890446,103.03,-4.14,-0.44,2024-12-31T16:30:01.000+02:00,AUTOINVEST,115037.8424434,115038.0,0.1575566
NOC_US_EQ,0.0214296,474.11057603,484.93,-0.14,-0.32,2025-01-02T16:30:02.000+02:00,AUTOINVEST,54080.9785704,54081.0,0.0214296
IRBT_US_EQ,1.5424,4.25959544,2.15,-2.57,-0.05,2025-01-21T16:30:12.000+02:00,AUTOINVEST,68950.4576,68952.0,1.5424
ITAC_US_EQ,8.76983,1.82785755,0.96,-6.12,-0.23,2025-01-21T16:30:12.000+02:00,AUTOINVEST,9991.23017,10000.0,8.76983
PDD_US_EQ,0.4999919,119.80194079,102.93,-7.77,-1.24,2025-01-28T16:31:50.000+02:00,AUTOINVEST,2999.5000081,3000.0,0.4999919
ISP6l_EQ,0.14945124,7506.99693091,5940.0,-2.34,,2024-12-30T10:02:52.000+02:00,AUTOINVEST,49999999.85054876,50000000.0,0.14945124
APLD_US_EQ,74.37061,8.14232934,4.88,-200.33,-12.46,2024-12-26T20:07:49.000+02:00,AUTOINVEST,167811.62939,167886.0,62.37061
BABA_US_EQ,5.4371183,116.68497263,115.53,-17.29,-12.43,2024-12-31T16:31:11.000+02:00,AUTOINVEST,1033991.5628817,1033997.0,5.4371183
KWEBl_EQ,0.800702,24.06638175,22.29,-1.51,-0.41,2025-01-28T16:31:50.000+02:00,AUTOINVEST,49999999.199298,50000000.0,0.800702
SV_US_EQ,34.629098,20.04874629,12.44,-215.95,-11.92,2024-12-26T20:07:50.000+02:00,AUTOINVEST,267397.370902,267432.0,34.629098
